hardware_id,oid,shid,start_tm,end_tm,span_raw,type,parameter,span_seconds,mid,machine_name,machine_type,is_gmaw,is_clad,source
EC6260723F44,7284324,2,2024-08-08 17:19:00+05:30,2024-08-08 17:19:22+05:30,23,high,current,23,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:19:33+05:30,2024-08-08 17:19:37+05:30,5,high,current,5,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:19:48+05:30,2024-08-08 17:20:00+05:30,13,high,current,13,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:18:59+05:30,2024-08-08 17:20:00+05:30,54,low,voltage,54,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:20:01+05:30,2024-08-08 17:20:22+05:30,20,low,voltage,20,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:45:48+05:30,2024-08-08 17:46:03+05:30,16,high,current,16,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:46:36+05:30,2024-08-08 17:46:44+05:30,9,high,current,9,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:48:11+05:30,2024-08-08 17:48:31+05:30,16,high,current,16,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:48:40+05:30,2024-08-08 17:48:44+05:30,5,high,current,5,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:48:46+05:30,2024-08-08 17:48:52+05:30,7,high,current,7,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:45:46+05:30,2024-08-08 17:49:30+05:30,204,low,voltage,204,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:45:46+05:30,2024-08-08 17:46:59+05:30,71,high,gas,71,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:47:06+05:30,2024-08-08 17:47:31+05:30,26,high,gas,26,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:47:40+05:30,2024-08-08 17:48:11+05:30,32,high,gas,32,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:48:18+05:30,2024-08-08 17:49:30+05:30,72,high,gas,72,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:59:36+05:30,2024-08-08 18:00:00+05:30,25,high,current,25,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:59:33+05:30,2024-08-08 18:00:00+05:30,28,low,voltage,28,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:59:34+05:30,2024-08-08 18:00:00+05:30,27,high,gas,27,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:04:28+05:30,2024-08-08 18:04:38+05:30,11,high,current,11,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:00:01+05:30,2024-08-08 18:04:50+05:30,30,low,voltage,30,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:00:01+05:30,2024-08-08 18:04:50+05:30,30,high,gas,30,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:22+05:30,2024-08-08 18:05:28+05:30,7,high,current,7,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:49+05:30,2024-08-08 18:06:08+05:30,20,high,current,20,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:06:15+05:30,2024-08-08 18:06:36+05:30,22,high,current,22,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:04+05:30,2024-08-08 18:06:08+05:30,58,low,voltage,58,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:06:15+05:30,2024-08-08 18:06:56+05:30,27,low,voltage,27,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:05+05:30,2024-08-08 18:05:17+05:30,13,high,gas,13,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:22+05:30,2024-08-08 18:05:43+05:30,22,high,gas,22,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:49+05:30,2024-08-08 18:06:08+05:30,20,high,gas,20,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:06:15+05:30,2024-08-08 18:06:37+05:30,23,high,gas,23,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:33:43+05:30,2024-08-08 18:35:00+05:30,35,low,voltage,35,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:33:44+05:30,2024-08-08 18:34:02+05:30,7,high,gas,7,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:34:24+05:30,2024-08-08 18:34:45+05:30,22,high,gas,22,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:35:01+05:30,2024-08-08 18:38:23+05:30,145,low,voltage,145,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:38:25+05:30,2024-08-08 18:40:00+05:30,80,low,voltage,80,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:35:01+05:30,2024-08-08 18:35:19+05:30,19,high,gas,19,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:35:24+05:30,2024-08-08 18:35:49+05:30,26,high,gas,26,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:36:05+05:30,2024-08-08 18:36:28+05:30,24,high,gas,24,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:36:33+05:30,2024-08-08 18:37:53+05:30,47,high,gas,47,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:37:59+05:30,2024-08-08 18:38:23+05:30,25,high,gas,25,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:38:25+05:30,2024-08-08 18:38:40+05:30,16,high,gas,16,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:38:54+05:30,2024-08-08 18:39:34+05:30,41,high,gas,41,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:39:40+05:30,2024-08-08 18:40:00+05:30,21,high,gas,21,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:40:01+05:30,2024-08-08 18:43:38+05:30,103,low,voltage,103,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:40:01+05:30,2024-08-08 18:41:24+05:30,75,high,gas,75,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:43:12+05:30,2024-08-08 18:43:38+05:30,27,high,gas,27,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 07:30:27+05:30,2024-08-09 07:30:45+05:30,15,high,current,15,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 07:30:51+05:30,2024-08-09 07:30:59+05:30,9,high,current,9,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 07:30:03+05:30,2024-08-09 07:30:59+05:30,44,low,voltage,44,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 07:30:03+05:30,2024-08-09 07:30:08+05:30,5,high,gas,5,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:15:05+05:30,2024-08-09 10:16:54+05:30,110,high,current,110,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:17:48+05:30,2024-08-09 10:19:06+05:30,79,high,current,79,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:15:04+05:30,2024-08-09 10:19:06+05:30,191,low,voltage,191,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:20:04+05:30,2024-08-09 10:21:29+05:30,86,high,current,86,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:20:04+05:30,2024-08-09 10:21:30+05:30,87,low,voltage,87,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:26:38+05:30,2024-08-09 10:27:50+05:30,73,high,current,73,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:28:12+05:30,2024-08-09 10:30:00+05:30,109,high,current,109,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:26:38+05:30,2024-08-09 10:30:00+05:30,183,low,voltage,183,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:30:01+05:30,2024-08-09 10:30:24+05:30,24,high,current,24,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:32:40+05:30,2024-08-09 10:34:27+05:30,108,high,current,108,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:34:42+05:30,2024-08-09 10:35:00+05:30,19,high,current,19,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:30:01+05:30,2024-08-09 10:35:00+05:30,153,low,voltage,153,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:35:01+05:30,2024-08-09 10:35:59+05:30,59,high,current,59,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:38:44+05:30,2024-08-09 10:39:25+05:30,37,high,current,37,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:39:33+05:30,2024-08-09 10:39:49+05:30,17,high,current,17,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:35:01+05:30,2024-08-09 10:38:32+05:30,66,low,voltage,66,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:38:44+05:30,2024-08-09 10:40:00+05:30,61,low,voltage,61,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:40:01+05:30,2024-08-09 10:40:15+05:30,15,high,current,15,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:40:31+05:30,2024-08-09 10:40:50+05:30,20,high,current,20,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:41:21+05:30,2024-08-09 10:41:42+05:30,22,high,current,22,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:41:52+05:30,2024-08-09 10:42:11+05:30,20,high,current,20,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:44:34+05:30,2024-08-09 10:45:00+05:30,27,high,current,27,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:40:01+05:30,2024-08-09 10:45:00+05:30,110,low,voltage,110,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:45:01+05:30,2024-08-09 10:47:07+05:30,100,high,current,100,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:47:27+05:30,2024-08-09 10:47:57+05:30,31,high,current,31,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:48:07+05:30,2024-08-09 10:48:18+05:30,12,high,current,12,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:48:30+05:30,2024-08-09 10:49:09+05:30,40,high,current,40,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:49:21+05:30,2024-08-09 10:50:00+05:30,40,high,current,40,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:45:01+05:30,2024-08-09 10:47:57+05:30,132,low,voltage,132,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:48:07+05:30,2024-08-09 10:50:00+05:30,95,low,voltage,95,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:50:01+05:30,2024-08-09 10:50:39+05:30,39,high,current,39,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:50:54+05:30,2024-08-09 10:51:28+05:30,35,high,current,35,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:51:52+05:30,2024-08-09 10:52:13+05:30,22,high,current,22,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:52:25+05:30,2024-08-09 10:54:54+05:30,150,high,current,150,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:50:01+05:30,2024-08-09 10:50:39+05:30,39,low,voltage,39,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:50:54+05:30,2024-08-09 10:51:28+05:30,35,low,voltage,35,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:51:51+05:30,2024-08-09 10:54:54+05:30,175,low,voltage,175,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 11:28:54+05:30,2024-08-09 11:30:00+05:30,68,high,current,68,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 11:28:52+05:30,2024-08-09 11:30:00+05:30,70,low,voltage,70,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 11:30:01+05:30,2024-08-09 11:30:10+05:30,10,high,current,10,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 11:31:12+05:30,2024-08-09 11:32:42+05:30,91,high,current,91,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 11:33:31+05:30,2024-08-09 11:34:34+05:30,64,high,current,64,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 11:30:01+05:30,2024-08-09 11:34:35+05:30,171,low,voltage,171,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 11:35:48+05:30,2024-08-09 11:37:13+05:30,85,high,current,85,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 11:35:29+05:30,2024-08-09 11:37:13+05:30,89,low,voltage,89,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:36:56+05:30,2024-08-09 12:38:10+05:30,74,high,current,74,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:37:19+05:30,2024-08-09 12:39:43+05:30,66,high,current,66,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:36:56+05:30,2024-08-09 12:40:00+05:30,147,low,voltage,147,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:36:56+05:30,2024-08-09 12:37:01+05:30,6,high,gas,6,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:38:39+05:30,2024-08-09 12:38:43+05:30,5,high,gas,5,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:40:01+05:30,2024-08-09 12:40:34+05:30,35,high,current,35,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:41:28+05:30,2024-08-09 12:43:02+05:30,95,high,current,95,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:40:01+05:30,2024-08-09 12:43:03+05:30,133,low,voltage,133,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:41:28+05:30,2024-08-09 12:41:32+05:30,5,high,gas,5,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:45:49+05:30,2024-08-09 12:47:32+05:30,104,high,current,104,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:48:18+05:30,2024-08-09 12:49:22+05:30,65,high,current,65,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:45:49+05:30,2024-08-09 12:50:00+05:30,175,low,voltage,175,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:45:49+05:30,2024-08-09 12:45:55+05:30,7,high,gas,7,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:48:18+05:30,2024-08-09 12:48:24+05:30,7,high,gas,7,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:50:01+05:30,2024-08-09 12:50:53+05:30,53,high,current,53,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:54:21+05:30,2024-08-09 12:54:56+05:30,13,high,current,13,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:50:01+05:30,2024-08-09 12:54:56+05:30,69,low,voltage,69,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 12:54:20+05:30,2024-08-09 12:54:56+05:30,14,high,gas,14,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:35:18+05:30,2024-08-09 18:35:33+05:30,16,high,current,16,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:36:13+05:30,2024-08-09 18:37:40+05:30,88,high,current,88,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:37:59+05:30,2024-08-09 18:38:48+05:30,50,high,current,50,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:38:57+05:30,2024-08-09 18:39:21+05:30,25,high,current,25,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:35:18+05:30,2024-08-09 18:35:33+05:30,16,low,voltage,16,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:36:13+05:30,2024-08-09 18:37:41+05:30,89,low,voltage,89,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:37:58+05:30,2024-08-09 18:38:48+05:30,51,low,voltage,51,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:38:56+05:30,2024-08-09 18:39:21+05:30,26,low,voltage,26,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:41:00+05:30,2024-08-09 18:41:29+05:30,30,high,current,30,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:41:38+05:30,2024-08-09 18:42:06+05:30,29,high,current,29,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:44:03+05:30,2024-08-09 18:44:11+05:30,9,high,current,9,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:44:46+05:30,2024-08-09 18:45:00+05:30,15,high,current,15,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:40:59+05:30,2024-08-09 18:41:30+05:30,32,low,voltage,32,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:41:37+05:30,2024-08-09 18:42:06+05:30,30,low,voltage,30,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:44:03+05:30,2024-08-09 18:44:11+05:30,9,low,voltage,9,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:44:46+05:30,2024-08-09 18:45:00+05:30,15,low,voltage,15,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:45:01+05:30,2024-08-09 18:47:00+05:30,120,high,current,120,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:47:35+05:30,2024-08-09 18:49:51+05:30,137,high,current,137,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:45:01+05:30,2024-08-09 18:47:00+05:30,120,low,voltage,120,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 18:47:34+05:30,2024-08-09 18:49:52+05:30,139,low,voltage,139,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:01:42+05:30,2024-08-09 19:03:05+05:30,84,high,current,84,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:01:42+05:30,2024-08-09 19:03:05+05:30,84,low,voltage,84,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:08:43+05:30,2024-08-09 19:08:47+05:30,5,high,current,5,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:08:55+05:30,2024-08-09 19:09:57+05:30,63,high,current,63,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:08:42+05:30,2024-08-09 19:08:47+05:30,6,low,voltage,6,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:08:54+05:30,2024-08-09 19:09:57+05:30,64,low,voltage,64,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:10:22+05:30,2024-08-09 19:11:02+05:30,41,high,current,41,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:11:33+05:30,2024-08-09 19:12:54+05:30,81,high,current,81,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:10:22+05:30,2024-08-09 19:11:02+05:30,41,low,voltage,41,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 19:11:33+05:30,2024-08-09 19:12:55+05:30,82,low,voltage,82,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:16:43+05:30,2024-08-09 20:17:36+05:30,54,high,current,54,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:18:23+05:30,2024-08-09 20:20:00+05:30,98,high,current,98,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:16:42+05:30,2024-08-09 20:17:36+05:30,55,low,voltage,55,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:18:22+05:30,2024-08-09 20:20:00+05:30,99,low,voltage,99,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:20:01+05:30,2024-08-09 20:20:24+05:30,24,high,current,24,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:20:35+05:30,2024-08-09 20:22:23+05:30,109,high,current,109,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:23:14+05:30,2024-08-09 20:24:18+05:30,65,high,current,65,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:20:01+05:30,2024-08-09 20:20:24+05:30,24,low,voltage,24,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:20:35+05:30,2024-08-09 20:22:23+05:30,109,low,voltage,109,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:23:13+05:30,2024-08-09 20:24:18+05:30,66,low,voltage,66,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:25:06+05:30,2024-08-09 20:28:24+05:30,199,high,current,199,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:29:34+05:30,2024-08-09 20:30:00+05:30,27,high,current,27,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:25:06+05:30,2024-08-09 20:28:24+05:30,199,low,voltage,199,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:29:34+05:30,2024-08-09 20:30:00+05:30,27,low,voltage,27,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:30:01+05:30,2024-08-09 20:31:31+05:30,92,high,current,92,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:32:59+05:30,2024-08-09 20:34:16+05:30,78,high,current,78,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:30:01+05:30,2024-08-09 20:31:32+05:30,93,low,voltage,93,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:32:59+05:30,2024-08-09 20:34:16+05:30,78,low,voltage,78,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:38:44+05:30,2024-08-09 20:39:58+05:30,75,high,current,75,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:38:44+05:30,2024-08-09 20:39:58+05:30,75,low,voltage,75,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:40:08+05:30,2024-08-09 20:42:51+05:30,164,high,current,164,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:43:04+05:30,2024-08-09 20:44:21+05:30,78,high,current,78,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:40:08+05:30,2024-08-09 20:42:52+05:30,165,low,voltage,165,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-09 20:43:04+05:30,2024-08-09 20:44:21+05:30,78,low,voltage,78,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:33:37+05:30,2024-08-10 08:34:01+05:30,25,high,current,25,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:34:10+05:30,2024-08-10 08:34:29+05:30,20,high,current,20,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:34:46+05:30,2024-08-10 08:35:00+05:30,15,high,current,15,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:33:37+05:30,2024-08-10 08:34:01+05:30,25,low,voltage,25,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:34:10+05:30,2024-08-10 08:34:29+05:30,20,low,voltage,20,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:34:46+05:30,2024-08-10 08:35:00+05:30,15,low,voltage,15,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:35:01+05:30,2024-08-10 08:35:11+05:30,11,high,current,11,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:35:23+05:30,2024-08-10 08:35:54+05:30,32,high,current,32,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:36:08+05:30,2024-08-10 08:36:31+05:30,24,high,current,24,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:36:49+05:30,2024-08-10 08:37:08+05:30,20,high,current,20,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:39:31+05:30,2024-08-10 08:40:00+05:30,30,high,current,30,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:35:01+05:30,2024-08-10 08:35:11+05:30,11,low,voltage,11,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:35:23+05:30,2024-08-10 08:35:54+05:30,32,low,voltage,32,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:36:08+05:30,2024-08-10 08:36:31+05:30,24,low,voltage,24,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:36:48+05:30,2024-08-10 08:37:08+05:30,21,low,voltage,21,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:39:30+05:30,2024-08-10 08:40:00+05:30,31,low,voltage,31,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:40:01+05:30,2024-08-10 08:40:10+05:30,10,high,current,10,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-10 08:40:31+05:30,2024-08-10 08:41:11+05:30,41,high,current,41,,,,,,unregistered_device
